Begin Up, End Up
255.53, 255.552
255.571, 255.594
255.699, 255.717
255.738, 255.756
255.776, 255.794
255.816, 255.835
255.854, 255.872
255.892, 255.91
255.931, 255.949
255.967, 255.985
256.006, 256.029
258.784, 258.815
258.842, 258.862
258.891, 258.91
258.937, 258.955
258.981, 258.999
259.027, 259.046
259.072, 259.091
259.113, 259.132
259.159, 259.178
259.2, 259.219
259.243, 259.262
259.285, 259.303
259.325, 259.343
259.373, 259.392
259.443, 259.48
259.503, 259.526
259.565, 259.586
259.624, 259.646
259.683, 259.701
259.724, 259.743
259.761, 259.78
259.798, 259.816
259.838, 259.858
259.876, 259.895
259.916, 259.935
259.955, 259.973
259.992, 260.01
260.033, 260.051
260.072, 260.09
260.11, 260.129
262.953, 262.986
263.041, 263.06
263.093, 263.112
263.143, 263.162
263.189, 263.208
263.235, 263.253
263.282, 263.3
263.324, 263.343
263.366, 263.384
263.409, 263.427
263.454, 263.472
263.496, 263.514
263.54, 263.558
263.582, 263.6
263.624, 263.642
263.668, 263.686
263.707, 263.725
263.746, 263.764
263.783, 263.802
263.821, 263.839
263.859, 263.878
263.897, 263.916
263.935, 263.953
263.974, 263.992
264.011, 264.029
264.048, 264.066
264.088, 264.106
264.125, 264.144
264.163, 264.182
264.202, 264.221
264.24, 264.258
264.279, 264.297
267.077, 267.113
267.138, 267.161
267.187, 267.209
267.236, 267.258
267.282, 267.305
267.329, 267.352
267.372, 267.394
267.416, 267.439
267.461, 267.483
267.503, 267.525
267.545, 267.568
267.59, 267.612
267.64, 267.662
267.682, 267.709
267.739, 267.781
267.844, 267.863
267.889, 267.911
267.934, 267.956
267.976, 267.998
268.02, 268.043
268.063, 268.085
268.106, 268.128
268.15, 268.173
268.192, 268.214
268.234, 268.257
268.281, 268.303
268.341, 268.363
268.406, 268.438
268.5, 268.535
268.572, 268.612
268.633, 268.673
271.435, 271.481
271.505, 271.547
271.571, 271.612
271.634, 271.675
271.697, 271.738
271.763, 271.804
271.824, 271.866
271.888, 271.928
271.951, 271.992
272.014, 272.055
272.077, 272.118
272.14, 272.182
272.202, 272.243
272.267, 272.307
272.328, 272.368
272.39, 272.431
272.457, 272.526
272.548, 272.589
272.611, 272.653
272.677, 272.712
272.731, 272.762
272.782, 272.813
272.834, 272.865
272.885, 272.916
272.936, 272.967
272.986, 273.017
273.035, 273.067
273.089, 273.12
273.139, 273.17
273.208, 273.238
276.025, 276.071
276.095, 276.131
276.154, 276.19
276.211, 276.246
276.266, 276.301
276.323, 276.358
276.379, 276.414
276.434, 276.478
276.501, 276.537
276.556, 276.591
276.611, 276.646
276.668, 276.703
276.723, 276.757
276.777, 276.809
276.831, 276.863
276.881, 276.914
276.935, 276.967
276.987, 277.019
277.039, 277.071
277.093, 277.124
277.144, 277.175
277.194, 277.226
277.247, 277.278
277.297, 277.328
277.348, 277.38
277.402, 277.434
277.453, 277.485
277.506, 277.538
277.558, 277.59
277.61, 277.642
280.401, 280.452
280.493, 280.513
280.558, 280.578
280.623, 280.642
280.688, 280.707
280.747, 280.766
280.801, 280.834
280.854, 280.887
280.905, 280.937
280.961, 280.994
281.014, 281.046
281.066, 281.098
281.119, 281.151
281.171, 281.204
281.224, 281.256
281.276, 281.308
281.328, 281.36
281.379, 281.41
281.432, 281.451
281.482, 281.514
281.533, 281.566
281.587, 281.619
281.639, 281.671
281.693, 281.725
281.746, 281.779
281.798, 281.829
281.852, 281.883
281.904, 281.936
281.955, 281.986
282.014, 282.045
282.076, 282.108
282.128, 282.16
285.1, 285.139
285.168, 285.192
285.225, 285.248
285.281, 285.313
285.335, 285.357
285.387, 285.41
285.442, 285.474
285.495, 285.526
285.547, 285.578
285.607, 285.637
285.659, 285.691
285.714, 285.749
