Begin Down, End Down
250.561, 250.6
250.623, 250.664
250.688, 250.708
250.73, 250.749
250.768, 250.797
250.83, 250.859
250.895, 250.93
250.976, 251.016
251.053, 251.078
251.105, 251.124
251.17, 251.19
251.212, 251.231
251.251, 251.271
251.291, 251.309
251.342, 251.36
251.382, 251.403
251.424, 251.442
251.464, 251.483
251.501, 251.519
251.54, 251.57
251.59, 251.622
251.645, 251.673
251.706, 251.734
251.76, 251.778
251.8, 251.819
254.623, 254.658
254.689, 254.713
254.739, 254.763
254.787, 254.811
254.832, 254.855
254.88, 254.903
254.926, 254.949
254.968, 254.991
255.014, 255.037
255.056, 255.08
255.099, 255.122
255.142, 255.164
255.185, 255.206
255.227, 255.25
255.271, 255.294
255.315, 255.337
255.355, 255.377
255.399, 255.421
255.442, 255.465
255.488, 255.51
255.53, 255.554
255.59, 255.609
255.699, 255.717
255.738, 255.756
255.776, 255.794
255.816, 255.835
255.854, 255.872
255.892, 255.91
255.931, 255.949
255.969, 255.988
256.006, 256.024
258.784, 258.82
258.845, 258.869
258.893, 258.917
258.938, 258.961
258.983, 259.006
259.03, 259.053
259.072, 259.094
259.115, 259.138
259.159, 259.181
259.2, 259.222
259.243, 259.265
259.285, 259.306
259.325, 259.348
259.377, 259.421
259.445, 259.484
259.507, 259.543
259.568, 259.602
259.626, 259.663
259.685, 259.703
259.724, 259.743
259.763, 259.782
259.8, 259.818
259.84, 259.858
259.876, 259.895
259.916, 259.935
259.955, 259.973
259.994, 260.012
260.034, 260.052
260.072, 260.09
260.11, 260.131
262.962, 263.016
263.048, 263.073
263.095, 263.119
263.146, 263.169
263.191, 263.215
263.237, 263.26
263.282, 263.305
263.324, 263.347
263.366, 263.389
263.411, 263.435
263.454, 263.477
263.496, 263.519
263.54, 263.563
263.582, 263.605
263.624, 263.647
263.668, 263.688
263.707, 263.725
263.746, 263.764
263.783, 263.802
263.821, 263.839
263.859, 263.878
263.897, 263.916
263.935, 263.953
263.974, 263.992
264.011, 264.029
264.049, 264.068
264.088, 264.105
264.125, 264.144
264.163, 264.182
264.202, 264.221
264.24, 264.258
264.282, 264.3
267.079, 267.115
267.142, 267.167
267.191, 267.215
267.238, 267.261
267.282, 267.305
267.329, 267.352
267.373, 267.397
267.416, 267.439
267.461, 267.483
267.504, 267.526
267.545, 267.568
267.59, 267.612
267.64, 267.662
267.682, 267.7
267.748, 267.766
267.845, 267.869
267.89, 267.913
267.935, 267.958
267.978, 268.001
268.022, 268.045
268.066, 268.088
268.108, 268.13
268.152, 268.175
268.194, 268.216
268.236, 268.259
268.282, 268.322
268.343, 268.383
268.407, 268.438
268.503, 268.544
268.575, 268.599
268.635, 268.659
271.438, 271.474
271.508, 271.531
271.573, 271.597
271.636, 271.66
271.697, 271.738
271.763, 271.804
271.824, 271.866
271.888, 271.928
271.951, 271.992
272.014, 272.055
272.077, 272.118
272.14, 272.182
272.202, 272.243
272.267, 272.307
272.328, 272.368
272.39, 272.431
272.457, 272.514
272.548, 272.589
272.611, 272.653
272.677, 272.712
272.731, 272.762
272.782, 272.813
272.834, 272.865
272.885, 272.916
272.938, 272.967
272.987, 273.017
273.037, 273.067
273.089, 273.12
273.145, 273.189
273.214, 273.244
276.031, 276.06
276.1, 276.12
276.158, 276.177
276.211, 276.246
276.266, 276.301
276.323, 276.358
276.38, 276.414
276.434, 276.478
276.502, 276.537
276.556, 276.591
276.611, 276.646
276.668, 276.703
276.723, 276.757
276.777, 276.809
276.831, 276.863
276.882, 276.914
276.936, 276.967
276.987, 277.019
277.04, 277.071
277.093, 277.124
