Begin Mid, Begin Up, Begin Down, End Mid, End Up, End Down
68.645, 68.645, 68.645, 68.932, 68.932, 68.8924
68.9549, 68.9549, 68.9549, 69.1958, 69.279, 69.1958
69.3015, 69.3015, 69.3015, 69.5014, 69.5394, 69.5014
69.5643, 69.5643, 69.5643, 69.8039, 69.8456, 69.7654
69.8669, 69.8669, 69.8679, 70.1084, 70.1041, 70.064
70.1304, 70.1304, 70.1304, 70.3708, 70.3841, 70.3445
70.4089, 70.4089, 70.4099, 70.6647, 70.6447, 70.6012
70.6861, 70.6871, 70.6871, 70.8749, 70.9173, 70.9859
71.0079, 71.0079, 71.0122, 71.194, 71.1979, 71.2589
71.2838, 71.2838, 71.2852, 71.4803, 71.4803, 71.4803
71.5023, 71.5023, 71.5037, 71.7032, 71.7032, 71.7032
71.728, 71.728, 71.7294, 71.9253, 71.9253, 71.9253
72.2144, 72.2144, 72.2158, 72.4134, 72.4134, 72.4167
72.4396, 72.4396, 72.4406, 72.6346, 72.6384, 72.6384
72.6664, 72.6664, 72.6664, 72.88, 72.8708, 72.8857
72.907, 72.9085, 72.9085, 73.1106, 73.1092, 73.1177
73.1384, 73.1397, 73.1397, 73.3496, 73.3496, 73.3443
73.3762, 73.3753, 73.3811, 73.5934, 73.5949, 73.592
73.6164, 73.6164, 73.6164, 73.8244, 73.83, 73.843
73.8648, 73.8648, 73.8648, 74.0751, 74.0751, 74.0785
74.1028, 74.1028, 74.1028, 74.3361, 74.3347, 74.3347
74.3581, 74.3581, 74.359, 74.5809, 74.5809, 74.5809
74.6032, 74.6032, 74.6032, 74.827, 74.827, 74.827
74.8518, 74.8518, 74.8518, 75.0725, 75.0725, 75.0902
75.1115, 75.1115, 75.1115, 75.3344, 75.3344, 75.3344
75.3565, 75.3565, 75.3579, 75.6249, 75.6249, 75.5737
75.6498, 75.6498, 75.6498, 75.8712, 75.8712, 75.8712
75.8932, 75.8932, 75.8932, 76.1, 76.0976, 76.1047
76.1291, 76.13, 76.1357, 76.3188, 76.3246, 76.3279
76.3494, 76.3494, 76.3507, 76.5469, 76.5469, 76.5469
76.569, 76.569, 76.569, 76.7679, 76.7679, 76.7679
76.7932, 76.7932, 76.7941, 76.9874, 76.9854, 76.9926
